,CAMIS,ZIPCODE,CUISINE DESCRIPTION,GRADE,ClosestWorkingTankDis,ClosestBadTankDis,BORO_Bronx,BORO_Brooklyn,BORO_Manhattan,BORO_Queens,BORO_Staten Island,RESULT,Pop,White,Black,Hispanic,Native,Asian,Inc,Unemp
71,40366473,2.7844058243306717,2.828252788104089,3.0,0.0710863683978099,1.3767713111687063,0.0,0.0,1.0,0.0,0.0,0.0,6115.0,78.9,1.5,2.7,1.9,12.9,112005.0,4.3
72,40366497,2.709401709401709,2.834724483081079,3.0,0.226693801885825,8.870724197566588,1.0,0.0,0.0,0.0,0.0,1.0,3233.0,47.4,3.4,38.9,0.0,7.2,32688.0,5.7
73,40366543,2.7141931302657163,2.714226260664493,3.0,0.8629385313938822,2.924263201219308,0.0,0.0,0.0,1.0,0.0,0.0,8196.0,3.1,2.0,82.6,0.0,8.7,15296.0,9.2
74,40366574,2.830357142857143,2.8146341463414632,3.0,0.0506084938297319,0.5098698162130166,0.0,0.0,1.0,0.0,0.0,0.0,4374.0,66.0,1.9,10.6,0.0,19.5,93787.0,3.3
75,40366586,2.780876494023905,2.689030362389814,1.0,0.9044299008295912,5.817734386673474,0.0,0.0,0.0,1.0,0.0,1.0,3241.0,50.9,4.9,14.1,0.0,26.7,27197.0,1.7
76,40366652,2.8570119156736937,2.779818620135461,3.0,0.0116505794030768,1.4674796954871314,0.0,1.0,0.0,0.0,0.0,0.0,2600.0,75.6,3.7,8.3,0.0,9.8,78881.0,7.9
77,40366661,2.790192926045016,2.8326446280991737,3.0,0.0706782326611911,0.6541157716715129,0.0,0.0,1.0,0.0,0.0,0.0,8032.0,69.2,3.5,6.3,0.0,18.8,93503.0,6.9
78,40366711,2.717884130982368,2.834724483081079,3.0,1.0783121002137268,7.852312528560717,0.0,0.0,0.0,0.0,1.0,1.0,4857.0,44.6,17.4,30.3,0.0,5.1,27362.0,15.4
79,40366716,2.7959025898724392,2.714226260664493,3.0,0.0212767620208914,0.3925236208224221,0.0,0.0,1.0,0.0,0.0,0.0,1166.0,76.5,2.2,6.3,0.0,14.9,151378.0,1.9
80,40366812,2.9577464788732395,2.804656538969617,3.0,2.067610380113573,9.735564145090589,0.0,0.0,0.0,1.0,0.0,0.0,3984.0,37.6,17.6,19.0,0.0,20.5,30022.0,3.1
81,40366879,2.7596273291925466,2.6753664640686448,3.0,0.2237624429419076,2.3247974100450697,0.0,0.0,0.0,1.0,0.0,1.0,4557.0,3.7,1.6,39.5,0.0,55.2,19769.0,4.8
82,40366938,2.876777251184834,2.8850716757291157,1.0,0.5308794820186081,6.404332983443609,1.0,0.0,0.0,0.0,0.0,0.0,5622.0,2.8,14.2,60.9,0.0,17.8,18825.0,18.6
83,40366961,2.7525179856115103,2.770718232044199,3.0,0.2513029616068333,3.3205112043798057,0.0,1.0,0.0,0.0,0.0,0.0,3223.0,58.2,21.5,5.8,0.0,9.9,49575.0,8.9
84,40367038,2.78955223880597,2.689588564805872,3.0,0.0260843507461663,1.0693137412615474,0.0,0.0,1.0,0.0,0.0,0.0,11252.0,52.8,3.5,28.6,0.0,13.6,58239.0,3.3
85,40367161,2.88517745302714,2.834724483081079,3.0,0.7380597578091947,6.972503223695596,1.0,0.0,0.0,0.0,0.0,0.0,1364.0,55.1,1.5,41.2,0.0,0.0,33654.0,6.7
86,40367179,2.7849877236057523,2.8146341463414632,3.0,0.0534283036370724,1.2874159375353686,0.0,0.0,1.0,0.0,0.0,0.0,4680.0,47.4,9.4,18.6,0.3,23.3,74370.0,4.2
87,40367189,2.797155688622754,2.834724483081079,3.0,0.1238099279516687,0.7935497926012314,0.0,0.0,1.0,0.0,0.0,0.0,2360.0,83.1,0.0,3.0,0.0,6.5,122003.0,5.1
88,40367232,2.816959669079628,2.8146341463414632,3.0,0.8761827756235535,1.356024087692351,0.0,0.0,0.0,1.0,0.0,1.0,3706.0,60.8,5.5,17.8,0.0,14.7,35938.0,3.5
89,40367241,2.7776606954689145,2.834724483081079,3.0,0.0222344787302514,1.3540440256899382,0.0,0.0,1.0,0.0,0.0,0.0,11688.0,79.9,1.8,7.9,0.0,6.6,95574.0,4.6
90,40367338,2.831124894276854,2.834724483081079,3.0,0.0004681162101571,0.9427616926534292,0.0,0.0,1.0,0.0,0.0,0.0,792.0,85.0,0.8,3.8,0.9,8.7,157551.0,2.1
91,40367339,2.831124894276854,2.834724483081079,3.0,0.0004681162101571,0.942761692653429,0.0,0.0,1.0,0.0,0.0,0.0,792.0,85.0,0.8,3.8,0.9,8.7,157551.0,2.1
92,40367365,2.831124894276854,2.834724483081079,3.0,0.037929343279257,1.2136229614329896,0.0,0.0,1.0,0.0,0.0,0.0,5195.0,72.9,3.6,8.4,0.0,12.3,141678.0,4.7
93,40367373,2.8232662192393736,2.91324028668427,3.0,0.051437797415144,0.8404014811336377,0.0,0.0,1.0,0.0,0.0,0.0,9296.0,86.4,0.4,3.9,0.0,7.8,121044.0,3.4
94,40367534,2.8180542563143125,2.689030362389813,3.0,0.0220408221065808,0.8171953453839255,0.0,0.0,1.0,0.0,0.0,0.0,186.0,58.1,10.2,1.1,0.0,27.4,84762.0,4.3
95,40367728,2.7959025898724392,2.804656538969617,3.0,0.0420428685783319,0.2812440578800465,0.0,0.0,1.0,0.0,0.0,0.0,9116.0,79.6,1.9,5.6,0.0,12.4,128063.0,4.0
96,40367752,2.8232662192393736,2.834724483081079,3.0,0.021786434849729,1.1234763250243749,0.0,0.0,1.0,0.0,0.0,0.0,3076.0,63.0,11.6,4.9,0.7,13.0,68495.0,5.0
97,40367841,2.881025641025641,2.804656538969617,3.0,0.0452603276260442,1.3170796859158274,0.0,0.0,1.0,0.0,0.0,0.0,5934.0,78.1,0.9,7.3,0.1,11.9,138838.0,4.3
98,40367870,2.670737222976029,2.779818620135461,3.0,0.208983366885606,4.819044327372632,0.0,0.0,0.0,1.0,0.0,0.0,10346.0,21.0,1.6,20.9,0.0,56.1,23432.0,4.9
99,40368018,2.7442455242966752,2.834724483081079,3.0,0.1582583485591778,6.767918751130529,1.0,0.0,0.0,0.0,0.0,0.0,8433.0,5.1,22.8,70.8,0.0,0.0,12999.0,17.4
100,40368021,2.7442455242966752,2.834724483081079,3.0,0.1582583485591778,6.767918751130529,1.0,0.0,0.0,0.0,0.0,0.0,8433.0,5.1,22.8,70.8,0.0,0.0,12999.0,17.4
101,40368022,2.7442455242966752,2.8850716757291157,3.0,0.1582583485591778,6.767918751130529,1.0,0.0,0.0,0.0,0.0,0.0,8433.0,5.1,22.8,70.8,0.0,0.0,12999.0,17.4
102,40368025,2.7442455242966752,2.834724483081079,3.0,0.1582583485591778,6.767918751130529,1.0,0.0,0.0,0.0,0.0,0.0,8433.0,5.1,22.8,70.8,0.0,0.0,12999.0,17.4
103,40368026,2.7442455242966752,2.306962025316456,3.0,0.1582583485591778,6.767918751130529,1.0,0.0,0.0,0.0,0.0,0.0,8433.0,5.1,22.8,70.8,0.0,0.0,12999.0,17.4
104,40368157,2.8236765318882866,2.834724483081079,3.0,0.0641089656756802,1.6591812813214242,0.0,0.0,1.0,0.0,0.0,0.0,6115.0,78.9,1.5,2.7,1.9,12.9,112005.0,4.3
105,40368223,2.801546391752577,2.828252788104089,3.0,0.0935414177568511,0.2947393545756689,0.0,0.0,1.0,0.0,0.0,0.0,1717.0,75.7,2.0,5.4,0.0,16.0,111765.0,1.7
106,40368271,2.805732484076433,2.834724483081079,3.0,0.1934813731551242,1.6373722851264565,0.0,0.0,1.0,0.0,0.0,0.0,7871.0,76.7,3.7,5.8,0.0,12.7,58068.0,4.4
107,40368291,2.810756972111554,2.834724483081079,2.0,3.0775938776956107,10.219739530537646,0.0,0.0,0.0,0.0,1.0,0.0,2884.0,49.9,10.6,24.3,0.0,12.0,25097.0,12.9
108,40368313,2.818045112781955,2.834724483081079,3.0,0.0303013159001861,0.5300515855468392,0.0,0.0,1.0,0.0,0.0,0.0,149.0,55.0,0.0,4.7,8.1,32.2,136078.0,4.1
109,40368318,2.801546391752577,2.834724483081079,3.0,0.0315391767852452,0.3157676165337338,0.0,0.0,1.0,0.0,0.0,0.0,258.0,82.6,0.4,3.1,9.7,4.3,61424.0,0.0
110,40368338,2.7917414721723524,2.834724483081079,3.0,0.0459408392364338,1.767693634788967,0.0,0.0,1.0,0.0,0.0,0.0,13162.0,82.9,1.3,6.8,0.0,7.5,91351.0,5.3
111,40368374,2.818045112781955,2.834724483081079,3.0,0.0023837695981965,0.6682067411810398,0.0,0.0,1.0,0.0,0.0,0.0,1068.0,35.5,35.4,23.6,0.0,1.4,28372.0,12.9
112,40368526,2.805080352514256,2.804656538969617,3.0,0.8706410286696169,2.89029751590626,0.0,1.0,0.0,0.0,0.0,0.0,2776.0,71.6,1.1,9.8,0.0,13.4,61600.0,5.3
113,40368555,2.7971556886227544,2.804656538969617,3.0,0.1470526269306407,0.7793409076932736,0.0,0.0,1.0,0.0,0.0,0.0,7897.0,34.8,1.0,5.9,0.4,55.1,53593.0,5.8
114,40368577,2.681212121212121,2.834724483081079,3.0,0.0894460906401409,5.187048373405673,0.0,1.0,0.0,0.0,0.0,0.0,5574.0,51.2,11.4,13.4,0.0,20.8,25848.0,8.6
115,40368581,2.784405824330672,2.843806104129264,3.0,0.050607218249146,1.4112909423380644,0.0,0.0,1.0,0.0,0.0,0.0,5677.0,83.3,1.6,9.5,0.0,4.9,99274.0,6.2
116,40368725,2.8236765318882866,2.6094334913900674,3.0,0.048556343140194,1.7419852747323417,0.0,0.0,1.0,0.0,0.0,0.0,8957.0,77.0,1.5,9.2,0.0,8.9,108123.0,4.8
117,40368752,2.802474591250552,2.863381160324392,3.0,0.1015071970355363,1.0098923169083036,0.0,0.0,1.0,0.0,0.0,0.0,6264.0,77.4,3.7,5.5,0.0,9.5,68694.0,3.4
118,40368763,2.7959025898724392,2.834724483081079,3.0,0.0380143681870914,0.3730138049756404,0.0,0.0,1.0,0.0,0.0,0.0,1683.0,74.2,1.3,13.6,0.4,7.5,103118.0,3.6
119,40368824,2.7959025898724392,2.834724483081079,3.0,0.0364693134298487,0.7254113168597155,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,40.0,40.0,0.0,0.0,2980.0,100.0
120,40368897,2.801546391752577,2.733296213808463,3.0,0.0033037046792467,0.3330964805773627,0.0,0.0,1.0,0.0,0.0,0.0,258.0,82.6,0.4,3.1,9.7,4.3,61424.0,0.0
121,40369012,2.780876494023905,2.779818620135461,3.0,0.6849421675961425,6.130598359723258,0.0,0.0,0.0,1.0,0.0,0.0,7007.0,23.9,30.3,31.7,0.2,13.3,14643.0,19.6
122,40369016,2.8232662192393736,2.849557522123894,3.0,0.0080586597971079,0.7489316221193855,0.0,0.0,1.0,0.0,0.0,0.0,1276.0,89.3,1.0,2.0,0.0,5.5,181157.0,0.6
123,40369213,2.670737222976029,2.834724483081079,3.0,0.2773584218718191,4.881854638529273,0.0,0.0,0.0,1.0,0.0,0.0,10346.0,21.0,1.6,20.9,0.0,56.1,23432.0,4.9
124,40369299,2.823045267489712,2.828252788104089,3.0,1.693684436960872,9.686919639094658,1.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,17.5,77.8,0.0,4.8,69308.0,0.0
125,40369418,2.802474591250552,2.804656538969617,3.0,0.0871123895167838,1.287687197387898,0.0,0.0,1.0,0.0,0.0,1.0,6264.0,77.4,3.7,5.5,0.0,9.5,68694.0,3.4
126,40369461,2.818045112781955,2.863381160324392,3.0,0.0229223193319395,0.6479571532034596,0.0,0.0,1.0,0.0,0.0,0.0,149.0,55.0,0.0,4.7,8.1,32.2,136078.0,4.1
127,40369482,2.761904761904762,2.779818620135461,3.0,0.4227051694789524,7.926908465875583,0.0,1.0,0.0,0.0,0.0,0.0,6403.0,26.1,53.3,19.4,0.3,0.0,18265.0,13.8
128,40369521,2.77466433158202,2.834724483081079,3.0,0.0636800443224938,1.5553075599552788,0.0,0.0,1.0,0.0,0.0,0.0,5604.0,81.8,2.1,4.6,0.3,9.9,119453.0,1.6
129,40369608,2.8570119156736937,2.834724483081079,3.0,0.2700968581738429,1.1870157538036403,0.0,1.0,0.0,0.0,0.0,0.0,4295.0,76.2,3.9,6.6,0.0,8.7,100012.0,5.5
130,40369619,2.8260869565217392,2.834724483081079,3.0,0.091007580659006,0.1955973417188626,0.0,0.0,1.0,0.0,0.0,0.0,5005.0,74.2,3.4,7.5,0.0,9.5,213267.0,3.5
