,BIN,BOROUGH,ZIP,STREET_NAME,BLOCK,LOT,CONFIRMATION_NUM,REPORTING_YEAR,MEET_STANDARDS,LATITUDE,LONGITUDE,CENSUS_TRACT,BBL
24757,1034244,MANHATTAN,10036,WEST   45 STREET,1261,19,WTI0784946784,2018,Y,40.75595,-73.980747,96.0,1012610019.0
24758,1083120,MANHATTAN,10016,EAST   30 STREET,936,7501,WTI4128637882,2016,Y,40.741734,-73.976403,70.0,1009367501.0
24763,1081418,MANHATTAN,10065,Lexington Ave,1403,1,WTI2908645915,2020,Y,40.768069,-73.963935,120.0,1014030001.0
24765,1039990,MANHATTAN,10022,EAST   57 STREET,1349,41,WTI9838361496,2018,Y,40.758869,-73.964272,108.0,1013490041.0
24766,1067886,MANHATTAN,10014,WEST   11 STREET,637,7502,WTI7609430461,2018,Y,40.735368,-74.009367,75.0,1006377502.0
24773,1084106,MANHATTAN,10027,WEST  131 STREET,1970,16,WTI0681678749,2017,Y,40.816101,-73.953493,21303.0,1019700016.0
24777,1030903,MANHATTAN,10024,WEST END AVENUE,1170,7502,WTI9926240500,2018,Y,40.784064,-73.98136,167.0,1011707502.0
24780,1007718,MANHATTAN,10012,SPRING STREET,501,33,WTI8582872749,2018,Y,40.724266,-74.001313,49.0,1005010033.0
24786,1056459,MANHATTAN,10025,WEST   99 STREET,1871,20,WTI1940631203,2017,Y,40.796397,-73.969886,187.0,1018710020.0
24794,1047074,MANHATTAN,10128,PARK AVENUE,1504,31,WTI0393406100,2018,Y,40.784254,-73.954797,16001.0,1015040031.0
24797,3001779,BROOKLYN,11201,PIERREPONT STREET,235,4,WTI6405971632,2017,Y,40.69603,-73.996008,301.0,3002350004.0
24800,1017903,MANHATTAN,10003,EAST   19 STREET,874,69,WTI9437549772,2017,Y,40.737267,-73.987074,50.0,1008740069.0
24802,1009481,MANHATTAN,10011,5 AVENUE,573,39,WTI8319313585,2019,Y,40.733216,-73.995663,63.0,1005730039.0
24804,1016239,MANHATTAN,10010,5 AVENUE,850,1,WTI2780419800,2019,Y,40.74035,-73.990441,56.0,1008500001.0
24805,1030741,MANHATTAN,10023,WEST   74 STREET,1166,7501,WTI7243731744,2019,Y,40.77998,-73.98078,163.0,1011667501.0
24806,1011650056,MANHATTAN,10023,West 74th Street,1165,56,WTI6019810419,2019,Y,40.780762,-73.982675,159.0,1011650056.0
24810,1016750,MANHATTAN,10010,EAST   25 STREET,855,7501,WTI5671246400,2019,Y,40.742007,-73.986705,56.0,1008557501.0
24813,1035255,MANHATTAN,10019,CENTRAL PARK SOUTH,1274,57,WTI2391366249,2016,Y,40.764959,-73.974579,11201.0,1012740057.0
24815,1031407,MANHATTAN,10024,WEST   86 STREET,1200,25,WTI7589310750,2020,Y,40.785428,-73.969634,173.0,1012000025.0
24816,1049854,MANHATTAN,10028,EAST   81 STREET,1544,19,WTI5682892914,2016,Y,40.774183,-73.952952,138.0,1015440019.0
24817,1013880021,MANHATTAN,10021,Madison Ave,1388,21,WTI8759212011,2018,Y,40.772722,-73.964737,130.0,1013880021.0
24820,1083072,MANHATTAN,10016,EAST   30 STREET,886,7502,WTI2596013309,2018,Y,40.743601,-73.98087,72.0,1008867502.0
24823,1018900007,MANHATTAN,10025,West 102nd Street,1890,7,WTI6756956966,2018,Y,40.799218,-73.970748,191.0,1018900007.0
24828,1048136,MANHATTAN,10128,PARK AVENUE,1518,69,WTI7940805018,2020,Y,40.782473,-73.955513,14802.0,1015180069.0
24833,1029777,MANHATTAN,10023,West 71st Street,1142,61,WTI3652649559,2020,Y,40.777477,-73.981048,157.0,1011420061.0
24834,1000006,MANHATTAN,10004,BROAD STREET,5,7501,WTI1453841906,2019,Y,40.702112,-74.011249,9.0,1000057501.0
